laureate_id,awardYear,category,prize,motivation,portion,laureate_type,full_Name,gender,birth_city,birth_country,birth_continent,organization_name,organization_city,organization_country,death_city,death_country,iso_alpha,birth_date_datetime,death_date_datetime,years_lived,dateAwarded_datetime,laureates_age_receiving_prize,decade,US_born_laureates,female_laureates,chemistry_category,physics_category,Literature_category,Peace_category,Physiology or Medicine,
0,745,2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001,for their analyses of markets with asymmetric information,01-Mar,Individual,A. Michael Spence,male,"Montclair, NJ",USA,North America,Stanford University,"Stanford, CA",USA,,,USA,01-01-1943,,,10-10-2001,59,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,102,1975,Physics,The Nobel Prize in Physics 1975,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,01-Mar,Individual,Aage Niels Bohr,male,Copenhagen,Denmark,Europe,Niels Bohr Institute,Copenhagen,Denmark,Copenhagen,Denmark,DNK,19-06-1922,08-09-2009,87,17-10-1975,53,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,779,2004,Chemistry,The Nobel Prize in Chemistry 2004,for the discovery of ubiquitin-mediated protein degradation,01-Mar,Individual,Aaron Ciechanover,male,Haifa,Israel,Asia,Technion - Israel Institute of Technology,Haifa,Israel,,,ISR,01-10-1947,,,06-10-2004,57,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,259,1982,Chemistry,The Nobel Prize in Chemistry 1982,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1,Individual,Aaron Klug,male,Zelvas,Lithuania,Europe,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,LTU,11-08-1926,20-11-2018,92,18-10-1982,56,1980,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4,1004,2021,Literature,The Nobel Prize in Literature 2021,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,Individual,Abdulrazak Gurnah,male,,,,,,,,,,01-01-1948,,,07-10-2021,74,2020,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,114,1979,Physics,The Nobel Prize in Physics 1979,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",01-Mar,Individual,Abdus Salam,male,Jhang Maghiāna,Pakistan,Asia,International Centre for Theoretical Physics,Trieste,Italy,Oxford,United Kingdom,PAK,29-01-1926,21-11-1996,71,15-10-1979,54,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,982,2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2019,for their experimental approach to alleviating global poverty,01-Mar,Individual,Abhijit Banerjee,male,Mumbai,India,Asia,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,IND,21-02-1961,,,14-10-2019,59,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,981,2019,Peace,The Nobel Peace Prize 2019,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",1,Individual,Abiy Ahmed Ali,male,Beshasha,Ethiopia,Africa,,,,,,ETH,15-08-1976,,,11-10-2019,43,2010,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,843,2009,Chemistry,The Nobel Prize in Chemistry 2009,for studies of the structure and function of the ribosome,01-Mar,Individual,Ada E. Yonath,female,Jerusalem,Israel,Asia,Weizmann Institute of Science,Rehovot,Israel,,,ISR,22-06-1939,,,07-10-2009,70,2000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,866,2011,Physics,The Nobel Prize in Physics 2011,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,01-Apr,Individual,Adam G. Riess,male,"Washington, D.C.",USA,North America,Johns Hopkins University,"Baltimore, MD",USA,,,USA,16-12-1969,,,04-10-2011,42,2010,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,199,1939,Chemistry,The Nobel Prize in Chemistry 1939,for his work on sex hormones,01-Feb,Individual,Adolf Friedrich Johann Butenandt,male,Bremerhaven-Lehe,Germany,Europe,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Munich,Germany,DEU,24-03-1903,18-01-1995,92,09-11-1939,37,1930,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
11,164,1905,Chemistry,The Nobel Prize in Chemistry 1905,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,male,Berlin,Germany,Europe,Munich University,Munich,Germany,Starnberg,Germany,DEU,1835-10-31,20-08-1917,82,09-11-1905,70,1900,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
12,185,1928,Chemistry,The Nobel Prize in Chemistry 1928,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,1,Individual,Adolf Otto Reinhold Windaus,male,Berlin,Germany,Europe,Goettingen University,Göttingen,Germany,Göttingen,Germany,DEU,1876-12-25,09-06-1959,82,13-11-1928,52,1920,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,541,1980,Peace,The Nobel Peace Prize 1980,"for being a source of inspiration to repressed people, especially in Latin America",1,Individual,Adolfo Pérez Esquivel,male,Buenos Aires,Argentina,South America,,,,,,ARG,26-11-1931,,,27-10-1980,49,1980,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14,292,1999,Chemistry,The Nobel Prize in Chemistry 1999,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,1,Individual,Ahmed H. Zewail,male,Damanhur,Egypt,Africa,California Institute of Technology (Caltech),"Pasadena, CA",USA,"Pasadena, CA",USA,EGY,26-02-1946,02-08-2016,70,12-10-1999,54,1990,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15,853,2010,Chemistry,The Nobel Prize in Chemistry 2010,for palladium-catalyzed cross couplings in organic synthesis,01-Mar,Individual,Akira Suzuki,male,Mukawa,Japan,Asia,Hokkaido University,Sapporo,Japan,,,JPN,12-09-1930,,,06-10-2010,80,2010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16,978,2019,Chemistry,The Nobel Prize in Chemistry 2019,for the development of lithium-ion batteries,01-Mar,Individual,Akira Yoshino,male,Suita,Japan,Asia,Asahi Kasei Corporation,Tokyo,Japan,,,JPN,30-01-1948,,,09-10-2019,72,2010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17,819,2007,Peace,The Nobel Peace Prize 2007,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",01-Feb,Individual,Albert Arnold (Al) Gore  Jr.,male,"Washington, D.C.",USA,North America,,,,,,USA,31-03-1948,,,12-10-2007,60,2000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,1012,2022,Physics,The Nobel Prize in Physics 2022,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",01-Mar,Individual,Alain Aspect,male,Agen,France,Europe,Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,,,FRA,15-06-1947,,,04-10-2022,75,2020,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,729,2000,Chemistry,The Nobel Prize in Chemistry 2000,for the discovery and development of conductive polymers,01-Mar,Individual,Alan J. Heeger,male,"Sioux City, IA",USA,North America,University of California,"Santa Barbara, CA",USA,,,USA,22-01-1936,,,10-10-2000,65,2000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
20,376,1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1963,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,01-Mar,Individual,Alan Lloyd Hodgkin,male,Banbury,United Kingdom,Europe,University of Cambridge,Cambridge,United Kingdom,Cambridge,United Kingdom,GBR,05-02-1914,20-12-1998,85,17-10-1963,50,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
21,730,2000,Chemistry,The Nobel Prize in Chemistry 2000,for the discovery and development of conductive polymers,01-Mar,Individual,Alan G. MacDiarmid,male,Masterton,New Zealand,Oceania,University of Pennsylvania,"Philadelphia, PA",USA,"Drexel Hill, PA",USA,NZL,14-04-1927,07-02-2007,80,10-10-2000,73,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,11,1907,Physics,The Nobel Prize in Physics 1907,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1,Individual,Albert Abraham Michelson,male,Strzelno,Poland,Europe,University of Chicago,"Chicago, IL",USA,"Pasadena, CA",USA,POL,1852-12-19,09-05-1931,78,12-11-1907,55,1900,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
23,628,1957,Literature,The Nobel Prize in Literature 1957,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",1,Individual,Albert Camus,male,Mondovi,Algeria,Africa,,,,Sens,France,DZA,07-11-1913,04-01-1960,46,17-10-1957,44,1950,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
24,403,1974,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1974,for their discoveries concerning the structural and functional organization of the cell,01-Mar,Individual,Albert Claude,male,Longlier,Belgium,Europe,Université Catholique de Louvain,Louvain,Belgium,Brussels,Belgium,BEL,1898-08-24,22-05-1983,85,10-10-1974,76,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
25,26,1921,Physics,The Nobel Prize in Physics 1921,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1,Individual,Albert Einstein,male,Ulm,Germany,Europe,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,"Princeton, NJ",USA,DEU,1879-03-14,18-04-1955,76,09-11-1922,44,1920,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
26,814,2007,Physics,The Nobel Prize in Physics 2007,for the discovery of Giant Magnetoresistance,01-Feb,Individual,Albert Fert,male,Carcassonne,France,Europe,Universit&eacute; Paris-Sud,Orsay,France,,,FRA,07-03-1938,,,09-10-2007,70,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
27,465,1902,Peace,The Nobel Peace Prize 1902,for his eminently practical administration of the Inter-Parliamentary Union,01-Feb,Individual,Charles Albert Gobat,male,Tramelan,Switzerland,Europe,,,,Bern,Switzerland,CHE,1843-05-21,16-03-1914,71,10-12-1902,60,1900,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
28,519,1960,Peace,The Nobel Peace Prize 1960,for his non-violent struggle against apartheid,1,Individual,Albert John Lutuli,male,Bulawayo,Zimbabwe,Africa,,,,Stanger,South Africa,ZWE,1898-01-01,21-07-1967,70,23-10-1961,64,1960,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
29,513,1952,Peace,The Nobel Peace Prize 1952,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",1,Individual,Albert Schweitzer,male,Kaysersberg,France,Europe,,,,Lambaréné,Gabon,FRA,1875-01-14,04-09-1965,91,30-10-1953,79,1950,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
30,332,1937,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1937,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",1,Individual,Albert von Szent-Györgyi Nagyrápolt,male,Budapest,Hungary,Europe,Szeged University,Szeged,Hungary,"Woods Hole, MA",USA,HUN,1893-09-16,22-10-1986,93,28-10-1937,44,1930,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
31,304,1910,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1910,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1,Individual,Albrecht Kossel,male,Rostock,Germany,Europe,University of Heidelberg,Heidelberg,Germany,Heidelberg,Germany,DEU,1853-09-16,05-07-1927,74,20-10-1910,57,1910,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32,83,1964,Physics,The Nobel Prize in Physics 1964,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",01-Apr,Individual,Aleksandr Mikhailovich Prokhorov,male,Atherton,Australia,Oceania,P.N. Lebedev Physical Institute,Moscow,Russia,Moscow,Russia,AUS,11-07-1916,08-01-2002,85,29-10-1964,48,1960,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
33,644,1970,Literature,The Nobel Prize in Literature 1970,for the ethical force with which he has pursued the indispensable traditions of Russian literature,1,Individual,Aleksandr Isayevich Solzhenitsyn,male,Kislovodsk,Russia,Europe,,,,Troitse-Lykovo,Russia,,11-12-1918,03-08-2008,90,08-10-1970,52,1970,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
34,1031,2023,Chemistry,The Nobel Prize in Chemistry 2023,for the discovery and synthesis of quantum dots,01-Mar,Individual,Aleksey Yekimov ,male,St. Petersburg,Russia,Europe,Nanocrystals Technology Inc.,"New York, NY",USA,,,,01-01-1945,,,04-10-2023,79,2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
35,1018,2022,Peace,The Nobel Peace Prize 2022,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",01-Mar,Individual,Ales Bialiatski ,male,"Vyartsilya, Karelia",Russia,Europe,,,,,,,25-09-1962,,,07-10-2022,60,2020,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
36,766,2003,Physics,The Nobel Prize in Physics 2003,for pioneering contributions to the theory of superconductors and superfluids,01-Mar,Individual,Alexei Alexeyevich Abrikosov,male,Moscow,Russia,Europe,Argonne National Laboratory,"Argonne, IL",USA,,,,25-06-1928,29-03-2017,89,07-10-2003,75,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37,306,1912,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1912,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1,Individual,Alexis Carrel,male,Sainte-Foy-lès-Lyon,France,Europe,Rockefeller Institute for Medical Research,"New York, NY",USA,Paris,France,FRA,1873-06-28,05-11-1944,71,10-10-1912,39,1910,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38,544,1982,Peace,The Nobel Peace Prize 1982,for their work for disarmament and nuclear and weapon-free zones,01-Feb,Individual,Alfonso García Robles,male,Zamora,Mexico,North America,,,,Mexico City,Mexico,MEX,20-03-1911,02-09-1991,80,13-10-1982,72,1980,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
39,392,1969,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1969,for their discoveries concerning the replication mechanism and the genetic structure of viruses,01-Mar,Individual,Alfred D. Hershey,male,"Owosso, MI",USA,North America,Carnegie Institution of Washington,"Long Island, New York, NY",USA,"Syosset, NY",USA,USA,04-12-1908,22-05-1997,88,16-10-1969,61,1960,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40,479,1911,Peace,The Nobel Peace Prize 1911,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",01-Feb,Individual,Alfred Hermann Fried,male,Vienna,Austria,Europe,,,,Vienna,Austria,AUT,1864-11-11,04-05-1921,56,10-12-1911,47,1910,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41,450,1994,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1994,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,01-Feb,Individual,Alfred G. Gilman,male,"New Haven, CT",USA,North America,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,"Dallas, TX",USA,USA,01-07-1941,23-12-2015,74,10-10-1994,53,1990,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42,87,1966,Physics,The Nobel Prize in Physics 1966,for the discovery and development of optical methods for studying Hertzian resonances in atoms,1,Individual,Alfred Kastler,male,Guebwiller,France,Europe,École Normale Supérieure,Paris,France,Bandol,France,FRA,03-05-1902,07-01-1984,82,03-11-1966,65,1960,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43,174,1913,Chemistry,The Nobel Prize in Chemistry 1913,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1,Individual,Alfred Werner,male,Mulhouse,France,Europe,University of Zurich,Zurich,Switzerland,Zurich,Switzerland,FRA,1866-12-12,15-11-1919,53,11-11-1913,47,1910,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44,892,2013,Literature,The Nobel Prize in Literature 2013,master of the contemporary short story,1,Individual,Alice Munro,female,Wingham,Canada,North America,,,,Port Hope,Canada,CAN,10-07-1931,13-05-2024,93,10-10-2013,82,2010,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
45,417,1979,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1979,for the development of computer assisted tomography,01-Feb,Individual,Allan M. Cormack,male,Johannesburg,South Africa,Africa,Tufts University,"Medford, MA",USA,"Winchester, MA",USA,ZAF,23-02-1924,07-05-1998,74,11-10-1979,56,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
46,305,1911,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1911,for his work on the dioptrics of the eye,1,Individual,Allvar Gullstrand,male,Landskrona,Sweden,Europe,Uppsala University,Uppsala,Sweden,Stockholm,Sweden,SWE,1862-06-05,28-07-1930,68,19-10-1911,49,1910,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
47,300,1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1907,in recognition of his work on the role played by protozoa in causing diseases,1,Individual,Charles Louis Alphonse Laveran,male,Paris,France,Europe,Institut Pasteur,Paris,France,Paris,France,FRA,1845-06-18,18-05-1922,77,31-10-1907,62,1900,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
48,543,1982,Peace,The Nobel Peace Prize 1982,for their work for disarmament and nuclear and weapon-free zones,01-Feb,Individual,Alva Myrdal,female,Uppsala,Sweden,Europe,,,,Stockholm,Sweden,SWE,31-01-1902,01-02-1986,84,13-10-1982,81,1980,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
49,882,2012,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2012,for the theory of stable allocations and the practice of market design,01-Feb,Individual,Alvin E. Roth,male,"New York, NY",USA,North America,Harvard University,"Cambridge, MA",USA,,,USA,18-12-1951,,,15-10-2012,61,2010,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,719,1998,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1998,for his contributions to welfare economics,1,Individual,Amartya Sen,male,Santiniketan,India,Asia,Trinity College,Cambridge,United Kingdom,,,IND,03-11-1933,,,14-10-1998,65,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,509,1947,Peace,The Nobel Peace Prize 1947,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",01-Feb,Organization,,Organization,,,,,,,,,,,,,30-10-1947,,1940,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
52,537,1977,Peace,The Nobel Peace Prize 1977,for worldwide respect for human rights,1,Organization,Amnesty International,Organization,,,,,,,,,,,,,10-10-1977,,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
53,590,1921,Literature,The Nobel Prize in Literature 1921,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",1,Individual,Anatole France,male,Paris,France,Europe,,,,Saint-Cyr-sur-Loire,France,FRA,1844-04-16,12-10-1924,80,10-11-1921,78,1920,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
54,360,1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1956,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,01-Mar,Individual,André Frédéric Cournand,male,Paris,France,Europe,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA,"Great Barrington, MA",USA,FRA,1895-09-24,19-02-1988,92,18-10-1956,61,1950,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
55,849,2010,Physics,The Nobel Prize in Physics 2010,for groundbreaking experiments regarding the two-dimensional material graphene,01-Feb,Individual,Andre Geim,male,Sochi,Russia,Europe,University of Manchester,Manchester,United Kingdom,,,,21-10-1958,,,05-10-2010,52,2010,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
56,618,1947,Literature,The Nobel Prize in Literature 1947,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",1,Individual,André Paul Guillaume Gide,male,Paris,France,Europe,,,,Paris,France,FRA,1869-11-22,19-02-1951,81,13-11-1947,78,1940,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57,381,1965,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1965,for their discoveries concerning genetic control of enzyme and virus synthesis,01-Mar,Individual,André Lwoff,male,Ainay-le-Château,France,Europe,Institut Pasteur,Paris,France,Paris,France,FRA,08-05-1902,30-09-1994,92,14-10-1965,63,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
58,990,2020,Physics,The Nobel Prize in Physics 2020,for the discovery of a supermassive compact object at the centre of our galaxy,01-Apr,Individual,Andrea Ghez,female,"New York, NY",USA,North America,University of California,"Los Angeles, CA",USA,,,USA,16-06-1965,,,06-10-2020,55,2020,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
59,534,1975,Peace,The Nobel Peace Prize 1975,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",1,Individual,Andrei Dmitrievich Sakharov,male,Moscow,Russia,Europe,,,,Moscow,Russia,,21-05-1921,14-12-1989,69,09-10-1975,54,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
60,377,1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1963,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,01-Mar,Individual,Andrew Fielding Huxley,male,Hampstead,United Kingdom,Europe,University College,London,United Kingdom,Grantchester,United Kingdom,GBR,22-11-1917,30-05-2012,95,17-10-1963,46,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
61,412,1977,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1977,for their discoveries concerning the peptide hormone production of the brain,01-Apr,Individual,Andrew V. Schally,male,Vilnius,Lithuania,Europe,Veterans Administration Hospital,"New Orleans, LA",USA,"Miami Beach, FL",USA,LTU,30-11-1926,17-10-2024,98,13-10-1977,51,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
62,802,2006,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2006,for their discovery of RNA interference - gene silencing by double-stranded RNA,01-Feb,Individual,Andrew Z. Fire,male,"Stanford, CA",USA,North America,Stanford University School of Medicine,"Stanford, CA",USA,,,USA,27-04-1959,,,02-10-2006,47,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
63,926,2015,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2015,"for his analysis of consumption, poverty, and welfare",1,Individual,Angus Deaton,male,Edinburgh,Scotland,Europe,Princeton University,"Princeton, NJ",USA,,,,19-10-1945,,,12-10-2015,70,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,1028,2023,Physics,The Nobel Prize in Physics 2023,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,01-Mar,Individual,Anne L’Huillier,female,Paris,France,Europe,Lund University,Lund,Sweden,,,FRA,16-08-1958,,,03-10-2023,65,2020,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
65,1017,2022,Literature,The Nobel Prize in Literature 2022,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",1,Individual,Annie Ernaux,female,Lillebonne,France,Europe,,,,,,FRA,01-09-1940,,,06-10-2022,82,2020,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
66,768,2003,Physics,The Nobel Prize in Physics 2003,for pioneering contributions to the theory of superconductors and superfluids,01-Mar,Individual,Anthony J. Leggett,male,London,United Kingdom,Europe,University of Illinois,"Urbana, IL",USA,,,GBR,26-03-1938,,,07-10-2003,66,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
67,1014,2022,Physics,The Nobel Prize in Physics 2022,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",01-Mar,Individual,Anton Zeilinger,male,Ried im Innkreis,Austria,Europe,University of Vienna,Vienna,Austria,,,AUT,20-05-1945,,,04-10-2022,77,2020,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
68,101,1974,Physics,The Nobel Prize in Physics 1974,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",01-Feb,Individual,Antony Hewish,male,Fowey,United Kingdom,Europe,University of Cambridge,Cambridge,United Kingdom,,,GBR,11-05-1924,13-09-2021,97,15-10-1974,50,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
69,538,1978,Peace,The Nobel Peace Prize 1978,for jointly having negotiated peace between Egypt and Israel in 1978,01-Feb,Individual,Mohamed Anwar al-Sadat,male,Mit Abu al-Kawm,Egypt,Africa,,,,Cairo,Egypt,EGY,25-12-1918,06-10-1981,63,27-10-1978,60,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
70,214,1952,Chemistry,The Nobel Prize in Chemistry 1952,for their invention of partition chromatography,01-Feb,Individual,Archer John Porter Martin,male,London,United Kingdom,Europe,National Institute for Medical Research,London,United Kingdom,Llangarron,United Kingdom,GBR,01-03-1910,28-07-2002,92,06-11-1952,43,1950,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
71,311,1922,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1922,for his discovery relating to the production of heat in the muscle,01-Feb,Individual,Archibald Vivian Hill,male,Bristol,United Kingdom,Europe,London University,London,United Kingdom,Cambridge,United Kingdom,GBR,1886-09-26,03-06-1977,91,25-10-1922,36,1920,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
72,998,2021,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2021,for their discoveries of receptors for temperature and touch,01-Feb,Individual,Ardem Patapoutian,male,Beirut,Lebanon,Asia,Scripps Research,"La Jolla, CA",USA,,,LBN,01-01-1967,,,04-10-2021,55,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
73,891,2013,Chemistry,The Nobel Prize in Chemistry 2013,for the development of multiscale models for complex chemical systems,01-Mar,Individual,Arieh Warshel,male,Kibbutz Sde-Nahum,Israel,Asia,University of Southern California,"Los Angeles, CA",USA,,,ISR,20-11-1940,,,09-10-2013,73,2010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
