laureate_id,awardYear,category,prize,motivation,portion,laureate_type,full_Name,gender,birth_city,birth_country,birth_continent,organization_name,organization_city,organization_country,death_city,death_country,iso_alpha,birth_date_datetime,death_date_datetime,years_lived,dateAwarded_datetime,laureates_age_receiving_prize,decade,US_born_laureates,female_laureates,chemistry_category,physics_category,Literature_category,Peace_category,Physiology or Medicine,
560,757,2002,Chemistry,The Nobel Prize in Chemistry 2002,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,01-Apr,Individual,Koichi Tanaka,male,Toyama City,Japan,Asia,Shimadzu Corp.,Kyoto,Japan,,,JPN,03-08-1959,,,09-10-2002,43,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
561,378,1964,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1964,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,01-Feb,Individual,Konrad Bloch,male,Nysa,Poland,Europe,Harvard University,"Cambridge, MA",USA,"Burlington, MA",USA,POL,21-01-1912,15-10-2000,89,15-10-1964,53,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
562,401,1973,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1973,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,01-Mar,Individual,Konrad Lorenz,male,Vienna,Austria,Europe,"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Austria,Vienna,Austria,AUT,07-11-1903,27-02-1989,85,11-10-1973,70,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
563,850,2010,Physics,The Nobel Prize in Physics 2010,for groundbreaking experiments regarding the two-dimensional material graphene,01-Feb,Individual,Konstantin Novoselov,male,Nizhny Tagil,Russia,Europe,University of Manchester,Manchester,United Kingdom,,,,23-08-1974,,,05-10-2010,36,2010,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
564,211,1950,Chemistry,The Nobel Prize in Chemistry 1950,for their discovery and development of the diene synthesis,01-Feb,Individual,Kurt Alder,male,Chorzów,Poland,Europe,Cologne University,Cologne,Germany,Cologne,Germany,POL,10-07-1902,20-06-1958,56,10-11-1950,48,1950,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
565,758,2002,Chemistry,The Nobel Prize in Chemistry 2002,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,01-Feb,Individual,Kurt Wüthrich,male,Aarberg,Switzerland,Europe,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,,,CHE,04-10-1938,,,09-10-2002,64,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
566,236,1968,Chemistry,The Nobel Prize in Chemistry 1968,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",1,Individual,Lars Onsager,male,Oslo,Norway,Europe,Yale University,"New Haven, CT",USA,"Coral Gables, FL",USA,NOR,27-11-1903,05-10-1976,73,30-10-1968,65,1960,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
567,895,2013,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2013,for their empirical analysis of asset prices,01-Mar,Individual,Lars Peter Hansen,male,"Urbana, IL",USA,North America,University of Chicago,"Chicago, IL",USA,,,USA,26-10-1952,,,14-10-2013,61,2010,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
568,21,1915,Physics,The Nobel Prize in Physics 1915,for their services in the analysis of crystal structure by means of X-rays,01-Feb,Individual,William Lawrence Bragg,male,Adelaide,Australia,Oceania,Victoria University,Manchester,United Kingdom,Ipswich,United Kingdom,AUS,1890-03-31,01-07-1971,81,12-11-1915,26,1910,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
569,694,1980,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1980,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,1,Individual,Lawrence R. Klein,male,"Omaha, NE",USA,North America,University of Pennsylvania,"Philadelphia, PA",USA,"Gladwyne, PA",USA,USA,14-09-1920,20-10-2013,93,15-10-1980,60,1980,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
570,531,1973,Peace,The Nobel Peace Prize 1973,for jointly having negotiated a cease fire in Vietnam in 1973,01-Feb,Individual,Le Duc Tho ,male,Nam Ha province,Vietnam,Asia,,,,Hanoi,Vietnam,,14-10-1911,13-10-1990,79,17-10-1973,62,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
571,523,1963,Peace,The Nobel Peace Prize 1963,for promoting the principles of the Geneva Convention and cooperation with the UN,01-Feb,Organization,Ligue des Sociétés de la Croix-Rouge,Organization,,,,,,,,,,,,,10-10-1963,,1960,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
572,545,1983,Peace,The Nobel Peace Prize 1983,for non-violent struggle for free trade unions and human rights in Poland,1,Individual,Lech Wałęsa,male,Popowo,Poland,Europe,,,,,,POL,29-09-1943,,,05-10-1983,40,1980,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
573,735,2001,Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2001,for their discoveries of key regulators of the cell cycle,01-Mar,Individual,Leland H. Hartwell,male,"Los Angeles, CA",USA,North America,Fred Hutchinson Cancer Research Center,"Seattle, WA",USA,,,USA,30-10-1939,,,08-10-2001,62,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
574,97,1973,Physics,The Nobel Prize in Physics 1973,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",01-Apr,Individual,Leo Esaki,male,Osaka,Japan,Asia,IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",USA,,,JPN,12-03-1925,,,23-10-1973,49,1970,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
575,484,1920,Peace,The Nobel Peace Prize 1920,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,1,Individual,Léon Victor Auguste Bourgeois,male,Paris,France,Europe,,,,Épernay,France,FRA,1851-05-21,29-09-1925,74,10-12-1920,70,1920,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
576,512,1951,Peace,The Nobel Peace Prize 1951,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,1,Individual,Léon Jouhaux,male,Paris,France,Europe,,,,Paris,France,FRA,1879-07-01,28-04-1954,75,05-11-1951,72,1950,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
577,132,1988,Physics,The Nobel Prize in Physics 1988,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,01-Mar,Individual,Leon M. Lederman,male,"New York, NY",USA,North America,Fermi National Accelerator Laboratory,"Batavia, IL",USA,"Rexburg, ID",USA,USA,15-07-1922,03-10-2018,96,19-10-1988,66,1980,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
578,95,1972,Physics,The Nobel Prize in Physics 1972,"for their jointly developed theory of superconductivity, usually called the BCS-theory",01-Mar,Individual,Leon Neil Cooper,male,"New York, NY",USA,North America,Brown University,"Providence, RI",USA,"Providence, RI",USA,USA,28-02-1930,23-10-2024,95,20-10-1972,43,1970,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
579,820,2007,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2007,for having laid the foundations of mechanism design theory,01-Mar,Individual,Leonid Hurwicz,male,Moscow,Russia,Europe,University of Minnesota,"Minneapolis, MN",USA,"Minneapolis, MN",USA,,21-08-1917,24-06-2008,91,15-10-2007,90,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
580,686,1975,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1975,for their contributions to the theory of optimum allocation of resources,01-Feb,Individual,Leonid Vitaliyevich Kantorovich,male,St. Petersburg,Russia,Europe,Academy of Sciences,Moscow,Russia,Moscow,Russia,,19-01-1912,07-04-1986,74,14-10-1975,64,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
581,200,1939,Chemistry,The Nobel Prize in Chemistry 1939,for his work on polymethylenes and higher terpenes,01-Feb,Individual,Leopold Ruzicka,male,Vukovar,Croatia,Europe,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Zurich,Switzerland,HRV,1887-09-13,26-09-1976,89,09-11-1939,52,1930,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
582,516,1957,Peace,The Nobel Peace Prize 1957,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,1,Individual,Lester Bowles Pearson,male,Toronto,Canada,North America,,,,Ottawa,Canada,CAN,1897-04-23,27-12-1972,76,03-10-1957,60,1950,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
583,77,1962,Physics,The Nobel Prize in Physics 1962,"for his pioneering theories for condensed matter, especially liquid helium",1,Individual,Lev Davidovich Landau,male,Baku,Azerbaijan,Asia,Academy of Sciences,Moscow,Russia,Moscow,Russia,AZE,22-01-1908,01-04-1968,60,01-11-1962,55,1960,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
584,870,2011,Peace,The Nobel Peace Prize 2011,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,01-Mar,Individual,Leymah Gbowee,female,Monrovia,Liberia,Africa,,,,,,LBR,01-02-1972,,,07-10-2011,40,2010,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
